Submitter,Maximum review status,Total submissions,Submissions with interpretations,Total Genes,Last updated,submitters_id,country_name,alpha_3
Breast Cancer Information Core (BIC),-,1969,1944,1,"Mar 28, 2014",504197,United States,USA
"ARUP Laboratories, Cytogenetics and Genomic Microarray; ARUP Laboratories",Assertion criteria,1915,1915,19251,"Apr 12, 2019",319864,United States,USA
Molecular Genetics Laboratory; London Health Sciences Center,Assertion criteria,1915,1915,40,"Apr 07, 2020",21463,Canada,CAN
"Diagnostic Laboratory, Department of Genetics; University Medical Center Groningen",Assertion criteria,1898,1898,520,"Apr 04, 2018",506382,Netherlands,NLD
Division of Genomic Diagnostics; The Children's Hospital of Philadelphia,Assertion criteria,1891,1891,840,"Sep 27, 2019",165021,United States,USA
Department of Pathology and Laboratory Medicine; Sinai Health System,Assertion criteria,1837,1837,18,"Apr 08, 2019",506152,Canada,CAN
Breast Cancer Information Core (BIC); National Institutes of Health,-,1754,1720,2,"Mar 28, 2014",504196,United States,USA
International Society for Gastrointestinal Hereditary Tumours,Expert panel,1714,1714,10,"Jun 21, 2019",500189,United Kingdom,GBR
"LDLR-LOVD, British Heart Foundation, Department of Cardiovascular Genetics; University College London",Assertion criteria,1686,1686,3,"Apr 20, 2016",500536,United Kingdom,GBR
Research and Development; ARUP Laboratories,Assertion criteria,1676,1565,8,"Sep 20, 2019",506018,United States,USA
Tuberous sclerosis database - Tuberous sclerosis 2 (TSC2); University College London,-,1671,0,2,"Aug 09, 2013",500074,United Kingdom,GBR
Bruce Budowle Laboratory; University of North Texas Health Science Center,-,1610,1610,13,"Nov 13, 2018",506790,United States,USA
Gharavi Laboratory; Columbia University,Assertion criteria,1560,1560,525,"Mar 05, 2019",506730,United States,USA
"Center for Human Genetics, Inc",Assertion criteria,1559,1559,100,"May 14, 2019",1024,United States,USA
Retina International,-,1549,0,22,"Dec 20, 2012",500304,Germany,DEU
Cardiovascular Biomedical Research Unit; Royal Brompton and Harefield NHS Foundation Trust,Assertion criteria,1523,176,17,"Sep 22, 2016",500163,United Kingdom,GBR
DNA and Cytogenetics Diagnostics Unit; Erasmus Medical Center,Assertion criteria,1473,1473,334,"Apr 09, 2018",506497,Netherlands,NLD
Institute of Human Genetics; Klinikum rechts der Isar,Assertion criteria,1439,1439,863,"Aug 10, 2020",500240,Germany,DEU
GenomeConnect; Clinical Genome Resource,-,1425,0,2668,"Apr 21, 2020",506185,United States,USA
Inherited Neuropathy Consortium,-,1381,1381,77,"Jul 12, 2019",506440,United States,USA
Institute of Human Genetics; University of Leipzig Medical Center,Assertion criteria,1354,1354,611,"Sep 08, 2020",506086,Germany,DEU
Broad Institute Rare Disease Group; Broad Institute,Assertion criteria,1188,1188,399,"Jun 01, 2020",506627,United States,USA
Centre de Biologie Pathologie Génétique; Centre Hospitalier Universitaire de Lille,Assertion criteria,1176,1176,345,"Jun 01, 2020",505759,France,FRA
University of Washington Department of Laboratory Medicine; University of Washington,Assertion criteria,1154,1154,71,"Dec 28, 2018",506834,United States,USA
ClinVar,-,1152,164,79,"May 10, 2018",500139,United States,USA
Leiden Open Variation Database,-,1124,1124,28,"Jul 10, 2020",506264,Netherlands,NLD
"Epithelial Biology; Institute of Medical Biology, Singapore",-,1100,0,41,"Jul 31, 2012",500159,Singapore,SGP
RettBASE,-,1097,973,6,"Aug 08, 2016",504290,Australia,AUS
Stanford Center for Inherited Cardiovascular Disease; Stanford University,-,1054,1054,153,"Aug 16, 2018",505443,United States,USA
Systems Biology Platform; Zhejiang California International NanoSystems Institute,-,1024,1024,1,"Feb 04, 2009",500169,China,CHN
"Research Molecular Genetics Laboratory; Women's College Hospital, University of Toronto",-,1023,1021,2,"Aug 04, 2017",506247,Canada,CAN
Bioscientia Institut fuer Medizinische Diagnostik GmbH; Sonic Healthcare,-,1014,1014,349,"Mar 06, 2020",505827,Germany,DEU
Genome Diagnostics Laboratory; University Medical Center Utrecht,Assertion criteria,1011,1011,265,"Feb 06, 2019",274978,Netherlands,NLD
"Lupski Lab, Baylor-Hopkins CMG; Baylor College of Medicine",Assertion criteria,931,931,1089,"Sep 18, 2020",505572,United States,USA
"Laboratory of Virology, Microbiology,  Quality and Medical Biotechnologies; Faculty of Sciences and Techniques - Mohammedia, Hassan II University of Casablanca",-,922,922,2,"Oct 07, 2019",507187,Morocco,MAR
UniProtKB/Swiss-Prot,-,921,5,64,"Mar 20, 2013",500133,Switzerland,CHE
SIB Swiss Institute of Bioinformatics,Assertion criteria,861,861,346,"Sep 04, 2020",506146,Switzerland,CHE
Molecular Diagnostic Laboratory for Inherited Cardiovascular Disease; Montreal Heart Institute,Assertion criteria,847,847,105,"Feb 19, 2019",505816,Canada,CAN
Juha Muilu Group; Institute for Molecular Medicine Finland (FIMM),-,840,840,45,"May 19, 2013",500116,Finland,FIN
CSER _CC_NCGL; University of Washington,Assertion criteria,818,818,119,"Sep 30, 2018",505295,United States,USA
Laboratorium voor Moleculaire Diagnostiek Experimentele Vasculaire Geneeskunde; Academisch Medisch Centrum,-,780,780,5,"Apr 25, 2017",506186,Netherlands,NLD
GeneKor MSA,Assertion criteria,775,775,45,"Mar 06, 2020",505504,Greece,GRC
"Center for Medical Genetics Ghent; Ghent University, Ghent University Hospital",Assertion criteria,766,766,46,"Sep 18, 2020",505304,Belgium,BEL
Institute of Molecular and Cell Biology; University of Tartu,-,761,0,541,"Oct 23, 2014",505255,Estonia,EST
Center for Genomics; Ann and Robert H. Lurie Children's Hospital of Chicago,Assertion criteria,751,751,337,"Mar 06, 2020",506344,United States,USA
Clinical Molecular Genetics Laboratory; Johns Hopkins All Children's Hospital,Assertion criteria,751,751,185,"Mar 31, 2020",1027,United States,USA
Pharmacogenomics Knowledge Base; Stanford University,Expert panel,744,744,140,"Jun 14, 2019",500295,United States,USA
"Center for Advanced Laboratory Medicine, UC San Diego Health; University of California San Diego",Assertion criteria,721,721,100,"Jun 12, 2019",507056,United States,USA
Biochemical Molecular Genetic Laboratory; King Abdulaziz Medical City,Assertion criteria,717,717,614,"Feb 12, 2020",506517,Saudi Arabia,SAU
Equipe Genetique des Anomalies du Developpement; Université de Bourgogne,Assertion criteria,714,714,548,"Aug 17, 2020",506039,France,FRA
HudsonAlpha Institute for Biotechnology,Assertion criteria,683,683,410,"Jun 17, 2020",505530,United States,USA
Developmental Genetics Unit; King Faisal Specialist Hospital & Research Centre,Assertion criteria,659,659,472,"Feb 02, 2020",500184,Saudi Arabia,SAU
Unité médicale des maladies autoinflammatoires; CHRU Montpellier,-,638,0,13,"Dec 12, 2011",500314,France,FRA
Tuberous sclerosis database - Tuberous sclerosis 1 (TSC1); University College London,-,603,0,1,"Aug 09, 2013",500075,United Kingdom,GBR
True Health Diagnostics,-,589,589,30,"Nov 27, 2018",506273,United States,USA
Sharon lab; Hadassah-Hebrew University Medical Center,-,565,565,141,"Jun 25, 2019",506232,Israel,ISR
DeBelle Laboratory for Biochemical Genetics; MUHC/MCH RESEARCH INSTITUTE,-,544,0,1,"Mar 30, 2012",504816,Canada,CAN
Human Evolutionary Genetics,-,541,0,29,"Apr 16, 2012",504825,France,FRA
ISCA site 8,-,535,535,12847,"Feb 04, 2019",505285,United States,USA
Foulkes Cancer Genetics LDI; Lady Davis Institute for Medical Research,-,528,528,4,"Jun 08, 2020",500086,Canada,CAN
"Medical Genetics Laboratory, Kennedy Center; Diagnostic Center, Rigshospitalet",-,503,503,93,"Dec 05, 2018",1147,Denmark,DNK
Johns Hopkins Genomics; Johns Hopkins University,Assertion criteria,502,502,206,"Sep 02, 2020",506823,United States,USA
Institute of Human Genetics; Friedrich-Alexander-Universität Erlangen-Nürnberg,Assertion criteria,500,500,107,"Jun 29, 2020",505150,Germany,DEU
"Center for Human Genetics and Laboratory Diagnostics, Dr. Klein, Dr. Rost and Colleagues",Assertion criteria,485,485,202,"Jul 01, 2020",505944,Germany,DEU
"Myriad Women's Health, Inc.",Assertion criteria,476,476,154,"Jun 18, 2020",507240,United States,USA
CFTR-France; University and hospital of Montpellier,Assertion criteria,474,474,9,"Sep 16, 2019",507119,France,FRA
Undiagnosed Diseases Network; National Institutes of Health,Assertion criteria,461,461,441,"Aug 24, 2020",505999,United States,USA
Medical & Molecular Genetics Group; University of Lincoln,-,448,448,15,"Aug 25, 2015",506209,United States,USA
Molecular Genetics Laboratory; Institute for Ophthalmic Research,Assertion criteria,442,442,101,"Jan 09, 2020",22949,Germany,DEU
"Centre de Génétique Moléculaire et Chromosomique, Unité de génétique de l'Obésité et des Dyslipidémies; APHP, GH Hôpitaux Universitaires Pitié-Salpêtrière / Charles-Foix",Assertion criteria,435,435,5,"Oct 19, 2017",506030,France,FRA
Genome Diagnostics Laboratory; VU University Medical Center Amsterdam,Assertion criteria,433,433,95,"Apr 09, 2018",506453,Netherlands,NLD
University of Washington Center for Mendelian Genomics; University of Washington,Assertion criteria,431,431,124,"Jun 03, 2020",505516,United States,USA
Personalized Diabetes Medicine Program; University of Maryland School of Medicine,Assertion criteria,430,430,41,"Feb 19, 2020",505866,United States,USA
German Consortium for Hereditary Breast and Ovarian Cancer Center Cologne; University Hospital Cologne,-,419,419,27,"Feb 22, 2019",506864,Germany,DEU
Collagen Diagnostic Laboratory; University of Washington,Assertion criteria,414,414,7,"Jan 11, 2019",1058,United States,USA
Science for Life laboratory; Karolinska Institutet,-,407,407,429,"Nov 10, 2011",500161,Sweden,SWE
Génétique des Maladies du Développement; Hospices Civils de Lyon,Assertion criteria,404,404,183,"Sep 15, 2020",506599,France,FRA
Cardiovascular Research Group; Instituto Nacional de Saúde Doutor Ricardo Jorge,Assertion criteria,403,403,7,"Apr 17, 2017",505909,Portugal,PRT
Richard Lifton Laboratory; Yale University,Assertion criteria,400,390,289,"Mar 27, 2015",500126,United States,USA
ClinGen PAH Variant Curation Expert Panel; ClinGen,Expert Panel,389,389,1,"Jul 01, 2020",506558,United States,USA
Centogene AG - the Rare Disease Company,Assertion criteria,383,383,294,"Aug 05, 2020",279559,Germany,DEU
Academic Unit of Haematology; University of Sheffield,-,383,0,1,"Jul 31, 2012",500250,United Kingdom,GBR
RYR1 homepage - Leiden Muscular Dystrophy pages,-,378,0,1,"Dec 01, 2011",500155,Netherlands,NLD
Laboratory of Genetics and Molecular Cardiology; University of São Paulo,Assertion criteria,375,375,27,"Aug 04, 2017",505581,Brazil,BRA
PXE International,Assertion criteria,370,370,5,"Aug 20, 2018",500195,United States,USA
Robarts Research Institute; Western University,Assertion criteria,370,370,7,"Aug 22, 2019",505989,Canada,CAN
Soonchunhyang University Bucheon Hospital; Soonchunhyang University Hospital,Assertion criteria,366,366,314,"Apr 14, 2016",505765,"Korea, Republic of",KOR
"Clinical Cytogenomics Laboratory; Laboratory for Precision Diagnostics, University of Washington",Assertion criteria,365,365,5232,"Mar 19, 2020",505820,United States,USA
CFTR2,Expert panel,359,359,9,"Mar 21, 2019",500092,United States,USA
ISCA site 17,Assertion criteria,359,359,13444,"Feb 08, 2019",505238,United States,USA
Agnes Ginges Centre for Molecular Cardiology; Centenary Institute,Assertion criteria,347,347,80,"Apr 14, 2020",505375,Australia,AUS
U4M - Lille University & CHRU Lille; Université de Lille - CHRU de Lille,Assertion criteria,346,346,3,"Mar 31, 2017",505910,France,FRA
"Center of Genomic medicine, Geneva; University Hospital of Geneva",Assertion criteria,345,345,237,"Jul 05, 2019",505593,United States,USA
Neurodegenerative Brain Diseases Group,-,334,0,6,"Feb 13, 2013",500316,Belgium,BEL
Fundacion Hipercolesterolemia Familiar,Assertion criteria,334,334,5,"Apr 20, 2017",506180,Spain,ESP
Laboratory of Molecular Genetics (Pr. Bezieau's lab); CHU de Nantes,Assertion criteria,329,329,217,"Feb 17, 2020",505613,France,FRA
Laboratory of Genetics in Ophthalmology; Institut Imagine,-,328,328,15,"May 27, 2020",507510,France,FRA
ISCA site 7,-,326,326,579,"Dec 04, 2017",505284,United States,USA
Division of Human Genetics; Children's Hospital of Philadelphia,-,325,324,240,"Jun 17, 2020",505472,United States,USA
Michigan Medical Genetics Laboratories; University of Michigan,Assertion criteria,321,321,2,"Apr 21, 2016",308659,United States,USA
Victorian Clinical Genetics Services; Murdoch Childrens Research Institute,Assertion criteria,320,320,197,"Aug 30, 2020",500104,Australia,AUS
Clinical Biochemistry Laboratory; Health Services Laboratory,-,318,318,38,"Nov 27, 2014",118451,United Kingdom,GBR
GenMed Metabolism Lab,-,317,317,1,"Feb 14, 2013",500231,United States,USA
Foundation for Research in Genetics and Endocrinology; FRIGE's Institute of Human Genetics,Assertion criteria,316,316,217,"Aug 27, 2020",505565,India,IND
ClinGen RASopathy Variant Curation Expert Panel,Expert panel,315,315,11,"Jul 24, 2020",506439,United States,USA
Genesis Genome Database,-,310,310,24,"Aug 19, 2019",507145,United States,USA
Molecular Diagnostics Laboratory; M Health: University of Minnesota,Assertion criteria,309,309,214,"Mar 27, 2020",506641,United States,USA
Wessex Regional Genetics Laboratory; Salisbury District Hospital,Assertion criteria,305,305,5,"Jul 23, 2020",506925,United Kingdom,GBR
Geisinger Autism and Developmental Medicine Institute; Geisinger Health System,Assertion criteria,303,303,1851,"Apr 18, 2018",506174,United States,USA
UNC Molecular Genetics  Laboratory; University of North Carolina at Chapel Hill,Assertion criteria,298,298,163,"Aug 25, 2020",506663,United States,USA
Cancer Genomics Group; Japanese Foundation For Cancer Research,Assertion criteria,298,298,35,"Jun 25, 2020",507256,Japan,JPN
UW Hindbrain Malformation Research Program; University of Washington,Assertion criteria,294,294,27,"Jul 06, 2017",505588,United States,USA
The ITHANET community portal; The Cyprus Institute of Neurology and Genetics ,-,288,288,11,"Nov 25, 2019",507248,Cyprus,CYP
"Department of Pediatrics, Samsung Medical Center; Samsung Medical Center",Assertion criteria,268,268,565,"Feb 13, 2020",507448,"Korea, Republic of",KOR
Department of Psychiatry; Nagoya University,Assertion criteria,266,261,3615,"Apr 20, 2018",504826,Japan,JPN
Erasmus University Medical Center,Assertion criteria,261,261,620,"Jul 23, 2020",505701,Netherlands,NLD
"Centre for Genomic Medicine, Manchester; Central Manchester University Hospitals",Assertion criteria,258,258,86,"Aug 29, 2019",505642,United Kingdom,GBR
"Next Generation Diagnostics; Novartis Institutes for BioMedical Research, Inc.",-,257,257,2321,"Jan 07, 2016",505696,Switzerland,CHE
Institute for Genomic Medicine (IGM) Clinical Laboratory; Nationwide Children's Hospital,Assertion criteria,255,255,204,"May 21, 2020",506792,United States,USA
Institute of Human Genetics; Cologne University,Assertion criteria,251,251,159,"Sep 04, 2020",243629,Germany,DEU
"Talkowski Laboratory, Center for Human Genetic Research; Massachusetts General Hospital",Assertion criteria,248,248,,"Aug 03, 2019",505929,United States,USA
ISCA site 2,-,248,248,3728,"Jun 21, 2014",505282,United States,USA
Knight Diagnostic Laboratories; Oregon Health and Sciences University,Assertion criteria,246,246,175,"Jan 19, 2017",505542,United States,USA
Laboratory of Diagnosis and Therapy of Lysosomal Disorders; University of Padova,Assertion criteria,245,245,9,"Apr 18, 2019",506414,Italy,ITA
Rady Children's Institute for Genomic Medicine; Rady Children's Hospital San Diego,Assertion criteria,245,245,268,"Aug 04, 2020",506081,United States,USA
Service de Génétique Moléculaire; Hôpital Robert Debré,-,244,244,75,"Aug 04, 2020",505368,France,FRA
Molecular Genetics of Inherited Kidney Disorders Laboratory; Garvan Institute of Medical Research,Assertion criteria,243,243,41,"Aug 24, 2020",507627,Australia,AUS
Pathway Genomics,Assertion criteria,238,238,18,"May 28, 2015",505209,United States,USA
Psychiatry Genetics,-,236,0,21,"Apr 18, 2013",500294,United States,USA
Clinical Genomics Lab; St. Jude Children's Research Hospital,Assertion criteria,235,235,64,"Dec 04, 2018",506672,United States,USA
Martin Pollak Laboratory; Beth Israel Deaconess Medical Center,-,234,234,43,"Aug 28, 2013",500107,United States,USA
"Department of Genetics; Sultan Qaboos University Hospital, Oman",Assertion criteria,234,234,190,"Oct 25, 2018",506653,Oman,OMN
ISCA site 15,Assertion criteria,234,234,7158,"Feb 08, 2019",505241,United States,USA
Dan Cohn Lab; University of California Los Angeles,-,232,232,24,"Sep 01, 2017",506318,United States,USA
Dudley Research Group; Pacific Northwest Research Institute,-,224,0,1,"May 21, 2020",507482,United States,USA
Department of Medical Genetics; Oslo University Hospital,Assertion criteria,224,223,18,"Aug 21, 2020",505260,Norway,NOR
Center for Bioinformatics; Peking University,Assertion criteria,223,223,2,"Mar 07, 2015",505423,China,CHN
"Phosphorus, Inc.",Assertion criteria,221,221,55,"Sep 27, 2017",506098,United States,USA
"Department of Biotechnology; Institute of Molecular and Cell Biology, University of Tartu",Assertion criteria,220,220,721,"Dec 08, 2015",505702,United States,USA
Reproductive Health Research and Development; BGI Genomics,-,218,218,197,"Apr 13, 2020",507058,China,CHN
Yale Center for Mendelian Genomics; Yale University,-,216,214,85,"Apr 02, 2019",506150,United States,USA
UCLA Clinical Genomics Center; UCLA,Assertion criteria,214,214,209,"Aug 23, 2018",505231,United States,USA
Medical Genetics; University of Parma,Assertion criteria,213,213,7,"Mar 11, 2020",505625,Italy,ITA
"Rare Disease Group, Clinical Genetics; Karolinska Institutet",Assertion criteria,213,213,2167,"Jul 25, 2019",506202,Sweden,SWE
Center for Human Genetics; University of Leuven,Assertion criteria,209,209,68,"Feb 21, 2020",505670,Belgium,BEL
Human Genome Sequencing Center Clinical Lab; Baylor College of Medicine,Assertion criteria,209,209,67,"May 08, 2020",500199,United States,USA
NEI Ophthalmic Genomics Laboratory; National Institutes of Health,Assertion criteria,208,113,49,"Sep 11, 2020",500072,United States,USA
Molecular Genetics Laboratory; BC Children's and BC Women's Hospitals,Assertion criteria,204,204,124,"Mar 23, 2020",249401,Canada,CAN
Cavalleri Lab; Royal College of Surgeons in Ireland,Assertion criteria,203,203,84,"Aug 24, 2020",506791,Ireland,IRL
Molecular Genetics Laboratory; Centre for Cardiovascular Surgery and Transplantation,Assertion criteria,201,201,3,"Mar 30, 2017",506042,Czechia,CZE
New York Genome Center,-,199,199,171,"Jul 31, 2020",507558,United States,USA
ClinGen CDH1 Variant Curation Expert Panel; ClinGen,Expert Panel,198,198,1,"Jun 29, 2020",506817,United States,USA
Department of Ophthalmology and Visual Sciences; Kyoto University,-,192,171,81,"Jan 06, 2015",505202,Japan,JPN
Medical Genomics Laboratory; Department of Genetics UAB,Assertion criteria,188,188,10,"Feb 21, 2020",221768,United States,USA
"Institute for Biomarker Research; Medical Diagnostic Laboratories, L.L.C.",Assertion criteria,186,186,21,"May 23, 2018",505776,United States,USA
ISCA site 14,Assertion criteria,183,183,6723,"Feb 08, 2019",505243,United States,USA
Baylor-Hopkins Center for Mendelian Genomics; Johns Hopkins University,Assertion criteria,180,180,105,"May 25, 2020",505755,United States,USA
Human Genetics - Radboudumc; Radboudumc,-,178,178,69,"Aug 15, 2017",505925,Netherlands,NLD
"Institute of Human Genetics, Univ. Regensburg; Univ. Regensburg",Assertion criteria,177,177,1,"May 25, 2016",505832,Germany,DEU
Suna and Inan Kirac Foundation Neurodegeneration Research Laboratory; Koc University,Assertion criteria,171,171,56,"Apr 15, 2020",507533,Turkey,TUR
Institute of Human Genetics; University of Wuerzburg,-,170,170,365,"Nov 18, 2019",505911,Germany,DEU
Molecular Diagnostics Lab; Nemours Alfred I. duPont Hospital for Children,Assertion criteria,167,167,29,"Jul 14, 2017",28338,United States,USA
Institute for Ophthalmic Research; University of Tuebingen,Assertion criteria,166,166,24,"Dec 03, 2018",505531,Germany,DEU
3DMed Clinical Laboratory Inc,Assertion criteria,163,163,14,"Jun 19, 2018",506621,China,CHN
Hadassah Hebrew University Medical Center,Assertion criteria,155,155,154,"Aug 11, 2020",505577,Israel,ISR
Cardiovascular Genetics Laboratory; PathWest Laboratory Medicine WA,-,153,153,3,"May 09, 2016",320268,Australia,AUS
"CHLA Center for Personalized Medicine; Children's Hospital, Los Angeles",Assertion criteria,151,151,128,"Apr 10, 2020",506200,United States,USA
ClinGen Hearing Loss Variant Curation Expert Panel,Expert panel,150,150,16,"Aug 11, 2020",506744,United States,USA
NeuroMeGen; Hospital Clinico Universitario de Santiago de Compostela,Assertion criteria,150,150,80,"Nov 15, 2018",505605,Spain,ESP
Institute of Human Genetics; University of Goettingen,Assertion criteria,148,148,1473,"Sep 04, 2020",19886,Germany,DEU
"Institute of Molecular, Cell and Systems Biology; University of Glasgow",-,148,148,4,"Mar 14, 2018",505360,United Kingdom,GBR
Iberoamerican FH Network,Assertion criteria,144,144,5,"Jul 28, 2017",506189,Spain,ESP
ClinGen PTEN Variant Curation Expert Panel,Expert Panel,144,144,2,"Mar 30, 2020",506694,United States,USA
"Genetic Testing Center for Deafness, Department of Otolaryngology Head & Neck Surgery; Institute of Otolaryngology, Chinese PLA General Hospital",Assertion criteria,144,144,52,"Aug 12, 2019",506993,China,CHN
Elsea Laboratory; Baylor College of Medicine,Assertion criteria,144,144,87,"Sep 04, 2020",242449,United States,USA
Institute for Genomic Statistics and Bioinformatics; University Hospital Bonn,Assertion criteria,141,141,72,"Jul 24, 2020",507028,Germany,DEU
Division of Human Genetics; Medical University Innsbruck,Assertion criteria,140,140,9,"Jun 19, 2020",320418,Austria,AUT
Constitutional Genetics Lab; Leon Berard Cancer Center,-,140,140,4,"Jul 20, 2020",507664,France,FRA
Cancer Genetics and Genomics Laboratory; British Columbia Cancer Agency,Assertion criteria,139,139,2,"Aug 04, 2017",506183,Canada,CAN
Greenwood Genetic Center Diagnostic Laboratories; Greenwood Genetic Center,Assertion criteria,133,133,180,"Aug 14, 2020",1019,United States,USA
"Brunham Lab, Centre for Heart and Lung Innovation; University of British Columbia",Assertion criteria,131,131,4,"Sep 16, 2020",507262,Canada,CAN
Claritas Genomics,Assertion criteria,130,130,44,"Feb 22, 2017",1179,United States,USA
Medical Research Institute; Tokyo Medical and Dental University,-,129,129,105,"Jul 23, 2018",505721,Japan,JPN
"Division of Genomic Medicine, Department of Advanced Medicine, Medical Research Institute; Kanazawa Medical University",Assertion criteria,120,120,4,"Aug 21, 2020",507305,Japan,JPN
"Laboratory of Molecular Diagnosis of Cancer; West China Hospital, Sichuan University",Assertion criteria,117,117,2,"Feb 27, 2016",505720,China,CHN
Vantari Genetics,Assertion criteria,116,116,41,"Mar 29, 2016",505712,United States,USA
King Laboratory; University of Washington,-,116,116,20,"Sep 09, 2020",63044,United States,USA
ClinGen Myeloid Malignancy Variant Curation Expert Panel,Expert Panel,116,116,1,"Jun 29, 2020",507107,United States,USA
ClinGen Platelet Disorders Variant Curation Expert Panel; ClinGen,Expert Panel,115,115,3,"Jul 08, 2020",507662,United States,USA
Laboratory of Inherited Metabolic Diseases; Research centre for medical genetics,Assertion criteria,114,114,31,"Apr 18, 2020",507039,Russian Federation,RUS
SNPedia; River Road Bio,Assertion criteria,114,75,26,"Jan 04, 2019",500165,United States,USA
Bioinformatics Core; Luxembourg Center for Systems Biomedicine,-,111,111,39,"Aug 09, 2017",506297,Luxembourg,LUX
